sep=	;
alfa	0,5
beta	0,5
distance constraint	0,4
normative match distance	0,4
total agents	4
characteristic 'intelligence'	0,5	
characteristic 'charisma'	0,5	

	Ace	Ben	Cara	Dan	
characteristic 'intelligence'	92	75	33	23	
characteristic 'charisma'	11	32	87	98	

matched group name	
Ace	nerd	nerd	nerd	nerd	nerd	nerd	nerd	nerd	nerd	nerd	
Cara	0,8288622	0,8288622	0,8288622	0,8288622	0,8288622	0,8288622	0,8288622	0,8288622	0,8288622	0,8288622	
Dan	1	1	1	1	1	1	1	1	1	1	

comparative fit	
Ace	0,7231466	0,7231466	0,7231466	0,7231466	0,7231466	0,7231466	0,7231466	0,7231466	0,7231466	0,7231466	
Ben	0,7231466	0,7231466	0,7231466	0,7231466	0,7231466	0,7231466	0,7231466	0,7231466	0,7231466	0,7231466	
Cara	0,6912845	0,6912845	0,6912845	0,6912845	0,6912845	0,6912845	0,6912845	0,6912845	0,6912845	0,6912845	
Dan	0,7768534	0,7768534	0,7768534	0,7768534	0,7768534	0,7768534	0,7768534	0,7768534	0,7768534	0,7768534	

accessibility	
Ace	0,9038231	0,9286546	0,9478751	0,9623625	0,9730565	0,9808257	0,9864036	0,9903738	0,993182	0,9951596	
Ben	0,7128589	0,7625503	0,8087657	0,8499125	0,8849897	0,9137001	0,9363676	0,9537297	0,9667075	0,976226	
Cara	0,9474405	0,9474405	0,9474405	0,9474405	0,9474405	0,9474405	0,9474405	0,9474405	0,9474405	0,9474405	
Dan	0,8367517	0,8763878	0,9087331	0,9340199	0,9530877	0,9670578	0,9770698	0,9841291	0,9890484	0,9924478	

salience	
Ace	0,6535966	0,6715534	0,6854526	0,6959292	0,7036625	0,7092808	0,7133145	0,7161855	0,7182162	0,7196463	
Ben	0,5155015	0,5514356	0,5848562	0,6146114	0,6399773	0,6607391	0,6771311	0,6896864	0,6990713	0,7059545	
Cara	0,6549509	0,6549509	0,6549509	0,6549509	0,6549509	0,6549509	0,6549509	0,6549509	0,6549509	0,6549509	
Dan	0,6500334	0,6808249	0,7059524	0,7255965	0,7404094	0,7512621	0,75904	0,764524	0,7683456	0,7709864	

Ace	
salience	
nerd	0,6535966	0,6715534	0,6854526	0,6959292	0,7036625	0,7092808	0,7133145	0,7161855	0,7182162	0,7196463	
jock	0,02117119	0,02117119	0,02117119	0,02117119	0,02117119	0,02117119	0,02117119	0,02117119	0,02117119	0,02117119	

accessibility	
nerd	0,9038231	0,9286546	0,9478751	0,9623625	0,9730565	0,9808257	0,9864036	0,9903738	0,993182	0,9951596	
jock	0,09487569	0,09487569	0,09487569	0,09487569	0,09487569	0,09487569	0,09487569	0,09487569	0,09487569	0,09487569	


Ben	
salience	
nerd	0,5155015	0,5514356	0,5848562	0,6146114	0,6399773	0,6607391	0,6771311	0,6896864	0,6990713	0,7059545	
jock	0,06340575	0,06340575	0,06340575	0,06340575	0,06340575	0,06340575	0,06340575	0,06340575	0,06340575	0,06340575	

accessibility	
nerd	0,7128589	0,7625503	0,8087657	0,8499125	0,8849897	0,9137001	0,9363676	0,9537297	0,9667075	0,976226	
jock	0,2841439	0,2841439	0,2841439	0,2841439	0,2841439	0,2841439	0,2841439	0,2841439	0,2841439	0,2841439	


Cara	
salience	
nerd	0,06188603	0,06188603	0,06188603	0,06188603	0,06188603	0,06188603	0,06188603	0,06188603	0,06188603	0,06188603	
Unfamiliar_Group	0,6549509	0,6549509	0,6549509	0,6549509	0,6549509	0,6549509	0,6549509	0,6549509	0,6549509	0,6549509	

accessibility	
nerd	0,2235336	0,2235336	0,2235336	0,2235336	0,2235336	0,2235336	0,2235336	0,2235336	0,2235336	0,2235336	
Unfamiliar_Group	0,9474405	0,9474405	0,9474405	0,9474405	0,9474405	0,9474405	0,9474405	0,9474405	0,9474405	0,9474405	


Dan	
salience	
nerd	0,03286872	0,03286872	0,03286872	0,03286872	0,03286872	0,03286872	0,03286872	0,03286872	0,03286872	0,03286872	
jock	0,6500334	0,6808249	0,7059524	0,7255965	0,7404094	0,7512621	0,75904	0,764524	0,7683456	0,7709864	

accessibility	
nerd	0,1187225	0,1187225	0,1187225	0,1187225	0,1187225	0,1187225	0,1187225	0,1187225	0,1187225	0,1187225	
jock	0,8367517	0,8763878	0,9087331	0,9340199	0,9530877	0,9670578	0,9770698	0,9841291	0,9890484	0,9924478	



